Cafenummer;Naam;Adres;Postcode;Plaats;PostadresAdres;PostadresPostcode;PostadresPlaats;Telefoon;Website;Emailadres;Deelname;NieuwDitSeizoen
C205;"Eetcafé De Bonnefooi";"Prins Bernardlaan 76";3901CD;Veenendaal;"Prins Bernardlaan 76";3901CD;Veenendaal;0318-510677;;;Nee;Nee
C247;"Q Billiards";"Walstraat 5";"4001 AZ";Tiel;"Walstraat 5";"4001 AZ";Tiel;"0344 655808";;;Nee;Nee
C280;"Q-Billiards Tiel";"Walstraatje 5";"4001 AZ";Tiel;"Walstraatje 5";"4001 AZ";Tiel;;;;Ja;Nee
C218;"Taveerne de Vlaming";"Kleibergsestraat 4";"4001 LE";Tiel;"Kleibergsestraat 4";"4001 LE";Tiel;0344-608537;;;Nee;Nee
C076;Twice;"Plein 37";"4001 LG";Tiel;"Plein 37";"4001 LG";Tiel;0344-663002;;;Nee;Nee
C219;"Café Gertje";"Plein 9";"4001 LG";Tiel;"Plein 9";"4001 LG";Tiel;0344-608408;;;Nee;Nee
C275;"Café Boemerang";"Plein 8";"4001 LJ";Tiel;"Plein 8";"4001 LJ";Tiel;"0344 625025";;;Ja;Nee
C163;"Café Wendela";"Kerkstraat 5a";"4001 MA";Tiel;"Kerkstraat 5a";"4001 MA";Tiel;06-26450991;;;Nee;Nee
C148;"De Hertog";"Kerkstraat 7c";"4001 MA";Tiel;"Kerkstraat 7c";"4001 MA";Tiel;0344-622699;;;Nee;Nee
C252;THC-Rivierenland;"Meidoornstraat 8A";"4001 ZE";Tiel;"Meidoornstraat 8A";"4001 ZE";Tiel;06-83255769;;;Nee;Nee
C245;"Sportpark De Lok";"Laan van Westroijen 5";"4003 AX";Tiel;"Laan van Westroijen 5";"4003 AX";Tiel;;;;Nee;Nee
C278;"Stichting Clubhuis";"Peppellaan 6";"4005 BC";Tiel;"Peppellaan 6";"4005 BC";Tiel;;;marrie@clubhuistiel.nl;Nee;Nee
C236;"Bowlingcentrum Tiel";"Oude Medelsestraat 11";"4005 EK";Tiel;"Oude Medelsestraat 11";"4005 EK";Tiel;0344-612896;;;Nee;Nee
C086;"De Betuwehal";"Wadenoijenlaan 399";"4006 AJ";Tiel;"Wadenoijenlaan 399";"4006 AJ";Tiel;0344-623342;;;Nee;Nee
C276;"Minicamping tussen de Dijken Tiel";"Inundatiedijk Zuid 3";"4006 PD";Tiel;"Inundatiedijk Zuid 3";"4006 PD";Tiel;0648312486;;;Ja;Nee
C174;"Café Zomerzorg";"Dorpsstraat 17";"4012 BE";Kerk-Avezaath;"Dorpsstraat 17";"4012 BE";Kerk-Avezaath;0344-681488;;;Nee;Nee
C222;"Eetcafé De Tol";"Moleneind 11";"4013 NE";Kapel-Avezaath;"Moleneind 11";"4013 NE";Kapel-Avezaath;0344-662016;;;Ja;Nee
C013;"De Kapelhof";"Hoge Hof 2";"4013 NL";"Kapel Avezaath";"Hoge Hof 2";"4013 NL";"Kapel Avezaath";06-22689463;;;Nee;Nee
C199;"Cafe Buitenweg";"Buitenweg 3";4021BB;Maurik;"Buitenweg 3";4021BB;Maurik;"0344 694602";0;0;Nee;Nee
C258;"De Witte Zwaan";"Prinses Beatrixstraat 28";"4024 HM";"Eck en Wiel";"Prinses Beatrixstraat 28";"4024 HM";"Eck en Wiel";0344-692748;;;Nee;Nee
C267;"Voetbalvereniging ISC";"Verhuizensestraat 8";"4031 KS";Ingen;"Verhuizensestraat 8";"4031 KS";Ingen;0344-601853;;;Ja;Nee
C046;"Ons Hoekje";"Dorpsstraat 11";"4031 MC";Ingen;"Dorpsstraat 11";"4031 MC";Ingen;0344-601264;;;Nee;Nee
